activity,type,afs_share,bench_share,abs_diff_pp
aacct,land,0.11978,0.21486,-9.50770
aacct,immo,0.34436,0.46401,-11.96460
aacct,nitc,0.02300,0.03331,-1.03064
aacct,trnp,0.07090,0.03319,3.77064
aacct,mach,0.26535,0.12684,13.85105
aacct,inta,0.17660,0.12779,4.88127
aatrp,land,0.05898,0.05816,0.08269
aatrp,immo,0.13083,0.14909,-1.82654
aatrp,nitc,0.00799,0.00910,-0.11153
aatrp,trnp,0.62962,0.71753,-8.79038
aatrp,mach,0.15660,0.04953,10.70757
aatrp,inta,0.01598,0.01659,-0.06182
abchm,land,0.00613,0.00493,0.12009
abchm,immo,0.06843,0.06900,-0.05740
abchm,nitc,0.00075,0.00075,-0.00063
abchm,trnp,0.00741,0.00748,-0.00622
abchm,mach,0.87633,0.88286,-0.65285
abchm,inta,0.04095,0.03498,0.59700
abevt,land,0.00309,0.00286,0.02358
abevt,immo,0.17201,0.18191,-0.98969
abevt,nitc,0.00123,0.00130,-0.00705
abevt,trnp,0.02950,0.03120,-0.16976
abevt,mach,0.54262,0.55037,-0.77540
abevt,inta,0.25155,0.23237,1.91832
acnst,land,0.06144,0.06134,0.00994
acnst,immo,0.21018,0.21347,-0.32852
acnst,nitc,0.00471,0.00479,-0.00737
acnst,trnp,0.18692,0.18984,-0.29216
acnst,mach,0.51055,0.50442,0.61386
acnst,inta,0.02619,0.02615,0.00424
acoal,land,0.02180,0.01874,0.30590
acoal,immo,0.10977,0.11532,-0.55521
acoal,nitc,0.00061,0.00064,-0.00309
acoal,trnp,0.00701,0.00736,-0.03545
acoal,mach,0.72415,0.74031,-1.61630
acoal,inta,0.13666,0.11762,1.90415
acomp,land,0.00294,0.00291,0.00376
acomp,immo,0.13538,0.13782,-0.24403
acomp,nitc,0.21259,0.21642,-0.38321
acomp,trnp,0.02807,0.02858,-0.05060
acomp,mach,0.14137,0.13555,0.58233
acomp,inta,0.47964,0.47873,0.09175
aelcg,land,0.00414,0.00278,0.13618
aelcg,immo,0.01656,0.01692,-0.03608
aelcg,nitc,0.02782,0.02843,-0.06059
aelcg,trnp,0.00992,0.01013,-0.02160
aelcg,mach,0.91887,0.92220,-0.33305
aelcg,inta,0.02269,0.01953,0.31513
aemch,land,0.02786,0.02572,0.21375
aemch,immo,0.12871,0.13833,-0.96201
aemch,nitc,0.01122,0.01243,-0.12051
aemch,trnp,0.09785,0.10455,-0.67007
aemch,mach,0.25912,0.27748,-1.83680
aemch,inta,0.47524,0.44149,3.37565
afabm,land,0.02647,0.02591,0.05657
afabm,immo,0.09323,0.09379,-0.05606
afabm,nitc,0.00739,0.00744,-0.00444
afabm,trnp,0.10198,0.10259,-0.06132
afabm,mach,0.68074,0.68201,-0.12746
afabm,inta,0.09019,0.08826,0.19272
afish,land,0.10523,0.00936,9.58675
afish,immo,0.15971,0.13831,2.14033
afish,nitc,0.00358,0.00551,-0.19371
afish,trnp,0.20614,0.40766,-20.15227
afish,mach,0.45139,0.24354,20.78442
afish,inta,0.07396,0.19561,-12.16552
afood,land,0.03920,0.04364,-0.44454
afood,immo,0.18865,0.18126,0.73897
afood,nitc,0.00868,0.00868,-0.00068
afood,trnp,0.04945,0.04409,0.53634
afood,mach,0.47615,0.46692,0.92291
afood,inta,0.23787,0.25540,-1.75300
afoot,land,0.11957,0.11908,0.04854
afoot,immo,0.23370,0.25656,-2.28692
afoot,nitc,0.00408,0.00447,-0.03989
afoot,trnp,0.01766,0.01939,-0.17285
afoot,mach,0.57473,0.55042,2.43071
afoot,inta,0.05027,0.05007,0.02041
afore,land,0.17358,0.16348,1.01022
afore,immo,0.17294,0.17941,-0.64705
afore,nitc,0.00211,0.00218,-0.00788
afore,trnp,0.05575,0.05784,-0.20860
afore,mach,0.59498,0.59597,-0.09869
afore,inta,0.00064,0.00112,-0.04800
afurn,land,0.00000,0.00000,0.00000
afurn,immo,0.03917,0.03931,-0.01371
afurn,nitc,0.02031,0.02038,-0.00711
afurn,trnp,0.15764,0.15819,-0.05517
afurn,mach,0.27176,0.27174,0.00194
afurn,inta,0.51112,0.51038,0.07404
aglss,land,0.00434,0.00430,0.00393
aglss,immo,0.08378,0.08753,-0.37450
aglss,nitc,0.00258,0.00269,-0.01152
aglss,trnp,0.00727,0.00759,-0.03247
aglss,mach,0.38001,0.38059,-0.05824
aglss,inta,0.52203,0.51730,0.47281
agold,land,0.02627,0.02448,0.17966
agold,immo,0.20907,0.35063,-14.15624
agold,nitc,0.00118,0.00198,-0.07983
agold,trnp,0.00422,0.00707,-0.28556
agold,mach,0.66311,0.52626,13.68445
agold,inta,0.09615,0.08958,0.65753
aheal,land,0.01017,0.00985,0.03200
aheal,immo,0.41035,0.41877,-0.84200
aheal,nitc,0.01254,0.01280,-0.02573
aheal,trnp,0.03346,0.03414,-0.06865
aheal,mach,0.23286,0.23320,-0.03450
aheal,inta,0.30063,0.29124,0.93888
aknit,land,0.00872,0.00843,0.02812
aknit,immo,0.12315,0.12440,-0.12462
aknit,nitc,0.02918,0.02947,-0.02953
aknit,trnp,0.05911,0.05971,-0.05982
aknit,mach,0.54983,0.55539,-0.55640
aknit,inta,0.23001,0.22259,0.74224
aleat,land,0.08748,0.08623,0.12573
aleat,immo,0.20899,0.20986,-0.08674
aleat,nitc,0.00608,0.00610,-0.00252
aleat,trnp,0.04374,0.04392,-0.01816
aleat,mach,0.64885,0.64910,-0.02529
aleat,inta,0.00486,0.00479,0.00698
altrp,land,0.00412,0.00362,0.04993
altrp,immo,0.25860,0.25934,-0.07423
altrp,nitc,0.00944,0.00947,-0.00271
altrp,trnp,0.37678,0.37786,-0.10815
altrp,mach,0.34488,0.34402,0.08545
altrp,inta,0.00618,0.00569,0.04971
amach,land,0.04773,0.04357,0.41565
amach,immo,0.16116,0.16863,-0.74636
amach,nitc,0.01594,0.01668,-0.07384
amach,trnp,0.11864,0.12414,-0.54945
amach,mach,0.44468,0.45359,-0.89096
amach,inta,0.21184,0.19339,1.84496
amets,land,0.00918,0.00863,0.05502
amets,immo,0.10785,0.11110,-0.32540
amets,nitc,0.00170,0.00175,-0.00512
amets,trnp,0.01068,0.01100,-0.03223
amets,mach,0.65645,0.66622,-0.97622
amets,inta,0.21414,0.20130,1.28394
amopt,land,0.00702,0.00669,0.03310
amopt,immo,0.09027,0.09232,-0.20510
amopt,nitc,0.01638,0.01675,-0.03722
amopt,trnp,0.05851,0.05984,-0.13294
amopt,mach,0.51454,0.52589,-1.13489
amopt,inta,0.31327,0.29850,1.47704
amore,land,0.01226,0.01121,0.10519
amore,immo,0.24921,0.29202,-4.28111
amore,nitc,0.00138,0.00162,-0.02373
amore,trnp,0.03136,0.03675,-0.53875
amore,mach,0.53943,0.50628,3.31578
amore,inta,0.16636,0.15213,1.42262
amorg,land,0.08161,0.08149,0.01238
amorg,immo,0.65921,0.66445,-0.52311
amorg,nitc,0.02127,0.02144,-0.01688
amorg,trnp,0.03213,0.03238,-0.02549
amorg,mach,0.16562,0.15993,0.56868
amorg,inta,0.04016,0.04031,-0.01558
amtvp,land,0.05177,0.04448,0.72893
amtvp,immo,0.14263,0.16948,-2.68456
amtvp,nitc,0.00949,0.01128,-0.17870
amtvp,trnp,0.01237,0.01470,-0.23281
amtvp,mach,0.74955,0.72953,2.00207
amtvp,inta,0.03418,0.03053,0.36506
amtvs,land,0.07310,0.07289,0.02043
amtvs,immo,0.27332,0.27737,-0.40514
amtvs,nitc,0.01113,0.01130,-0.01650
amtvs,trnp,0.13204,0.13400,-0.19573
amtvs,mach,0.24637,0.24114,0.52314
amtvs,inta,0.26404,0.26330,0.07381
anmmi,land,0.03774,0.03721,0.05273
anmmi,immo,0.11507,0.11637,-0.12958
anmmi,nitc,0.00361,0.00365,-0.00407
anmmi,trnp,0.04230,0.04278,-0.04763
anmmi,mach,0.66768,0.66818,-0.04998
anmmi,inta,0.13359,0.13181,0.17854
aoact,land,0.02859,0.00471,2.38794
aoact,immo,0.44499,0.35835,8.66405
aoact,nitc,0.01699,0.05596,-3.89714
aoact,trnp,0.05298,0.33037,-27.73897
aoact,mach,0.24005,0.18752,5.25277
aoact,inta,0.21640,0.06309,15.33136
aobus,land,0.03699,0.02634,1.06456
aobus,immo,0.28607,0.20013,8.59342
aobus,nitc,0.03935,0.05034,-1.09906
aobus,trnp,0.14707,0.14548,0.15951
aobus,mach,0.24646,0.24002,0.64412
aobus,inta,0.24406,0.33768,-9.36255
aochm,land,0.05123,0.04690,0.43277
aochm,immo,0.14803,0.15731,-0.92778
aochm,nitc,0.00706,0.00750,-0.04425
aochm,trnp,0.02074,0.02204,-0.13001
aochm,mach,0.41141,0.43516,-2.37550
aochm,inta,0.36153,0.33108,3.04478
aofin,land,0.01054,0.01053,0.00048
aofin,immo,0.14917,0.15403,-0.48544
aofin,nitc,0.02746,0.02835,-0.08935
aofin,trnp,0.06730,0.06949,-0.21900
aofin,mach,0.06526,0.05763,0.76250
aofin,inta,0.68027,0.67997,0.03082
aomin,land,0.01743,0.01890,-0.14698
aomin,immo,0.18900,0.09343,9.55719
aomin,nitc,0.00162,0.00384,-0.22154
aomin,trnp,0.02592,0.04578,-1.98620
aomin,mach,0.61767,0.71739,-9.97218
aomin,inta,0.14836,0.12066,2.76972
aomnf,land,0.03480,0.06034,-2.55385
aomnf,immo,0.13364,0.05835,7.52967
aomnf,nitc,0.00607,0.02157,-1.55028
aomnf,trnp,0.03668,0.08813,-5.14524
aomnf,mach,0.61576,0.56261,5.31464
aomnf,inta,0.17305,0.20900,-3.59494
aotrp,land,0.13503,0.12762,0.74139
aotrp,immo,0.33252,0.35082,-1.82999
aotrp,nitc,0.00593,0.00626,-0.03264
aotrp,trnp,0.08287,0.08743,-0.45606
aotrp,mach,0.38782,0.37512,1.27077
aotrp,inta,0.05583,0.05276,0.30652
apapr,land,0.01404,0.01365,0.03866
apapr,immo,0.09862,0.09900,-0.03811
apapr,nitc,0.00240,0.00241,-0.00093
apapr,trnp,0.01157,0.01162,-0.00447
apapr,mach,0.84529,0.84601,-0.07247
apapr,inta,0.02808,0.02731,0.07732
apetr,land,0.08466,0.02005,6.46062
apetr,immo,0.11944,0.09693,2.25169
apetr,nitc,0.00279,0.00449,-0.17011
apetr,trnp,0.02603,0.07898,-5.29448
apetr,mach,0.73933,0.73504,0.42885
apetr,inta,0.02775,0.06452,-3.67657
aplas,land,0.10044,0.09999,0.04537
aplas,immo,0.04862,0.05061,-0.19854
aplas,nitc,0.00277,0.00288,-0.01131
aplas,trnp,0.04150,0.04320,-0.16948
aplas,mach,0.77505,0.77185,0.31969
aplas,inta,0.03162,0.03147,0.01428
apost,land,0.01141,0.00656,0.48422
apost,immo,0.18397,0.07511,10.88574
apost,nitc,0.27498,0.61666,-34.16838
apost,trnp,0.20004,0.00718,19.28626
apost,mach,0.24834,0.14932,9.90270
apost,inta,0.08127,0.14517,-6.39055
aprnt,land,0.00473,0.00457,0.01631
aprnt,immo,0.20267,0.20499,-0.23155
aprnt,nitc,0.01375,0.01391,-0.01571
aprnt,trnp,0.02289,0.02316,-0.02616
aprnt,mach,0.45048,0.45530,-0.48187
aprnt,inta,0.30547,0.29808,0.73898
areal,land,0.05861,0.05816,0.04520
areal,immo,0.51836,0.64930,-13.09310
areal,nitc,0.00368,0.00461,-0.09301
areal,trnp,0.07495,0.09388,-1.89306
areal,mach,0.30386,0.15375,15.01080
areal,inta,0.04054,0.04031,0.02317
arecr,land,0.06119,0.06085,0.03379
arecr,immo,0.52858,0.53995,-1.13675
arecr,nitc,0.02076,0.02121,-0.04465
arecr,trnp,0.03911,0.03995,-0.08410
arecr,mach,0.26429,0.25245,1.18417
arecr,inta,0.08608,0.08560,0.04754
arent,land,0.01448,0.01446,0.00260
arent,immo,0.09285,0.10151,-0.86620
arent,nitc,0.01167,0.01276,-0.10890
arent,trnp,0.59114,0.64628,-5.51482
arent,mach,0.27303,0.20787,6.51666
arent,inta,0.01683,0.01712,-0.02934
arsea,land,0.18428,0.18267,0.16109
arsea,immo,0.45053,0.46236,-1.18384
arsea,nitc,0.02075,0.02129,-0.05452
arsea,trnp,0.02620,0.02688,-0.06884
arsea,mach,0.21203,0.20150,1.05326
arsea,inta,0.10621,0.10528,0.09284
artrd,land,0.04717,0.04702,0.01506
artrd,immo,0.19132,0.19182,-0.05001
artrd,nitc,0.02590,0.02597,-0.00677
artrd,trnp,0.05121,0.05135,-0.01339
artrd,mach,0.42609,0.42637,-0.02739
artrd,inta,0.25830,0.25748,0.08249
arubb,land,0.01112,0.01079,0.03297
arubb,immo,0.21514,0.21552,-0.03830
arubb,nitc,0.00465,0.00466,-0.00083
arubb,trnp,0.02307,0.02312,-0.00411
arubb,mach,0.73224,0.73254,-0.03057
arubb,inta,0.01378,0.01337,0.04084
atrps,land,0.06359,0.05901,0.45817
atrps,immo,0.40302,0.43227,-2.92490
atrps,nitc,0.01592,0.01707,-0.11551
atrps,trnp,0.10318,0.11067,-0.74885
atrps,mach,0.22029,0.19736,2.29345
atrps,inta,0.19400,0.18362,1.03763
awatd,land,0.00397,0.00163,0.23421
awatd,immo,0.04423,0.29978,-25.55539
awatd,nitc,0.02521,0.00168,2.35241
awatd,trnp,0.01005,0.01145,-0.14013
awatd,mach,0.89388,0.66936,22.45252
awatd,inta,0.02267,0.01610,0.65638
aweav,land,0.04107,0.04049,0.05792
aweav,immo,0.20928,0.20959,-0.03159
aweav,nitc,0.01154,0.01155,-0.00174
aweav,trnp,0.03922,0.03928,-0.00592
aweav,mach,0.64329,0.64426,-0.09710
aweav,inta,0.05561,0.05482,0.07843
awood,land,0.08636,0.08536,0.09994
awood,immo,0.25028,0.25132,-0.10434
awood,nitc,0.00248,0.00249,-0.00103
awood,trnp,0.08719,0.08755,-0.03635
awood,mach,0.44862,0.44897,-0.03488
awood,inta,0.12507,0.12430,0.07666
awtrd,land,0.06326,0.06133,0.19258
awtrd,immo,0.33939,0.35165,-1.22621
awtrd,nitc,0.01273,0.01319,-0.04601
awtrd,trnp,0.11541,0.11958,-0.41697
awtrd,mach,0.31479,0.30349,1.13008
awtrd,inta,0.15441,0.15075,0.36654
