source,target,target_label
P1,cceri,cceri
P2,cvegf,cvegf
P3,clani,clani
P4,cfore,cfore
P5,cfish,cfish
P6,ccoal,ccoal
P7,coilg,coilg
P8,cmore,cmore
P9,cquar,cquar
P10,comin,comin
P11,celcg,celcg
P12,cwatr,cwatr
P13,cmeat,cmeat
P14,cpfis,cpfis
P15,cvege,cvege
P16,cfrui,cfrui
P17,cfats,cfats
P18,cdair,cdair
P19,cgrai,cgrai
P20,cafee,cafee
P21,cbake,cbake
P22,csuga,csuga
P23,cconf,cconf
P24,cpast,cpast
P25,calcb,calcb
P26,csftd,csftd
P27,ctoba,ctoba
P28,ctexf,ctexf
P29,ctexm,ctexm
P30,ccarp,ccarp
P31,cotex,cotex
P32,cknit,cknit
P33,cwear,cwear
P34,cleat,cleat
P35,cfoot,cfoot
P36,cwood,cwood
P37,cpapp,cpapp
P38,cprnt,cprnt
P39,ccoke,ccoke
P40,cpetr,cpetr
P41,cbchm,cbchm
P42,cpain,cpain
P43,cphar,cphar
P44,csoap,csoap
P45,coche,coche
P46,ctyre,ctyre
P47,cplas,cplas
P48,cglas,cglas
P49,ccera,ccera
P50,cclay,cclay
P51,ccmnt,ccmnt
P52,cconc,cconc
P53,conmp,conmp
P54,cfurn,cfurn
P55,cjewl,cjewl
P56,comnf,comnf
P57,cwast,cwast
P58,cirst,cirst
P59,cimet,cimet
P60,cnfme,cnfme
P61,cstrm,cstrm
P62,cofbm,cofbm
P63,cengt,cengt
P64,clift,clift
P65,cgenm,cgenm
P66,cspcm,cspcm
P67,cdoma,cdoma
P68,coffm,coffm
P69,celcm,celcm
P70,crdtv,crdtv
P71,cmeda,cmeda
P72,cmtvp,cmtvp
P73,cmbod,cmbod
P74,cship,cship
P75,crail,crail
P76,cairc,cairc
P77,coteq,coteq
P78,ccnst,ccnst
P79,cwhol,cwhol
P80,creta,creta
P81,chotl,chotl
P82,crest,crest
P83,cptrp,cptrp
P84,cftrp,cftrp
P85,ctrps,ctrps
P86,cpost,cpost
P87,celcd,celcd
P88,cwatd,cwatd
P89,cfins,cfins
P90,cofin,cofin
P91,cinsp,cinsp
P92,ccrpf,ccrpf
P93,creal,creal
P94,crrea,crrea
P95,crent,crent
P96,crsea,crsea
P97,clacc,clacc
P98,cobus,cobus
P99,ctelc,ctelc
P100,csupp,csupp
P101,cmnfs,cmnfs
P102,cpuba,cpuba
P103,ceduc,ceduc
P104,cheal,cheal
P105,cmemb,cmemb
P106,centa,centa
P107,cpers,cpers
P108,cdoms,cdoms
