code,kind,description,source_sheet,flag
aagri,activity,Agriculture,Industry_List,
afore,activity,Forestry,Industry_List,
afish,activity,Fishing,Industry_List,
acoal,activity,Mining of coal and lignite,Industry_List,
aomin,activity,Other mining and quarrying,Industry_List,
agold,activity,Mining of gold and uranium ore,Industry_List,
amore,activity,Mining of metal ores,Industry_List,
afood,activity,Food,Industry_List,
abevt,activity,Beverages and tobacco,Industry_List,
aweav,activity,"Spinning, weaving and finishing of textiles",Industry_List,
aknit,activity,"Knitted, crouched fabrics, wearing apparel, fur articles",Industry_List,
aleat,activity,Tanning and dressing of leather,Industry_List,
afoot,activity,Footwear,Industry_List,
awood,activity,"Sawmilling, planing of wood, cork, straw",Industry_List,
apapr,activity,Paper,Industry_List,
aprnt,activity,"Publishing, printing, recorded media",Industry_List,
apetr,activity,"Coke oven, petroleum refineries",Industry_List,
abchm,activity,"Nuclear fuel, basic chemicals",Industry_List,
aochm,activity,"Other chemical products, man-made fibres",Industry_List,
arubb,activity,Rubber,Industry_List,
aplas,activity,Plastic,Industry_List,
aglss,activity,Glass,Industry_List,
anmmi,activity,Non-metallic minerals,Industry_List,
amets,activity,"Metal products (ferr, non-ferr & casting of metals)",Industry_List,
afabm,activity,Fabricated metal products,Industry_List,
amach,activity,Machinery and equipment,Industry_List,
aemch,activity,Electrical machinery and apparatus,Industry_List,
ardtv,activity,"Radio, television, communication equipment and apparatus",Industry_List,
amopt,activity,"Medical, precision, optical instruments, watches and clocks",Industry_List,
amtvp,activity,"Motor vehicles, trailers, parts",Industry_List,
aotrp,activity,Other transport equipment,Industry_List,
afurn,activity,Furniture,Industry_List,
aomnf,activity,"Manufacturing n.e.c, recycling",Industry_List,
aelcg,activity,"Electricity, gas, steam and hot water supply",Industry_List,
awatd,activity,"Collection, purification and distribution of water",Industry_List,
acnst,activity,Construction,Industry_List,
awtrd,activity,"Wholesale trade, commission trade",Industry_List,
artrd,activity,Retail trade,Industry_List,
amtvs,activity,"Sale, maintenance, repair of motor vehicles",Industry_List,
aacct,activity,Hotels and restaurants,Industry_List,
altrp,activity,"Land transport, transport via pipe lines",Industry_List,
awtrp,activity,Water transport,Industry_List,
aatrp,activity,Air transport,Industry_List,
atrps,activity,Auxiliary transport,Industry_List,
apost,activity,Post and telecommunication,Industry_List,
afins,activity,Financial intermediation,Industry_List,
ainsp,activity,Insurance and pension funding,Industry_List,
aofin,activity,Activities to financial intermediation,Industry_List,
areal,activity,Real estate activities,Industry_List,
arent,activity,Renting of machinery and equipment,Industry_List,
acomp,activity,Computer and related activities,Industry_List,
arsea,activity,Research and experimental development,Industry_List,
aobus,activity,Other business activities,Industry_List,
apuba,activity,Government,Industry_List,
aeduc,activity,Education,Industry_List,
aheal,activity,Health and social work,Industry_List,
awast,activity,Sewerage and refuse disposal,Industry_List,
amorg,activity,Activities of membership organisations,Industry_List,
arecr,activity,"Recreational, cultural and sporting activities",Industry_List,
aoact,activity,Other activities,Industry_List,
anobs,activity,"Non-observed, informal, non-profit, households,",Industry_List,
cceri,commodity,cceri,Product_List,
