row,col,value_EURm,ras_factor
act,com,1569815.0,1.000000
atx,act,1664.0,1.000000
cap,act,334451.2,1.000072
cap,row,10261.8,0.997649
com,act,842743.6,0.997501
com,gvt,201236.4,1.005508
com,hhd,342068.4,1.011456
com,row,667778.0,0.995084
com,si,180089.5,1.002413
corp,cap,223956.3,1.003816
corp,d4x,377538.0,0.994581
corp,d9,1748.2,1.009368
corp,soc_c,80881.3,1.004861
corp,trf,21380.2,1.001510
d4x,corp,445809.5,1.004128
d4x,gvt,6490.8,1.003524
d4x,hhd,6561.5,1.009460
d4x,row,276682.2,0.993120
d8,corp,29939.8,1.000061
d8,row,166.2,0.989098
d9,corp,199.2,0.995812
d9,gvt,2427.3,0.995213
d9,hhd,22482.7,1.001101
d9,row,795.8,0.984896
dtx,corp,29001.0,0.996872
dtx,gvt,279.0,0.996272
dtx,hhd,75675.5,1.002166
dtx,row,5015.5,0.985944
gvt,atx,1664.0,1.000000
gvt,cap,25930.8,0.995616
gvt,d4x,6153.5,0.986456
gvt,d9,2287.6,1.001123
gvt,dtx,105737.0,0.999056
gvt,ptx,88095.0,1.000000
gvt,soc_c,118560.8,0.996652
gvt,trf,4050.8,0.993329
hhd,cap,94825.9,0.992287
hhd,d4x,62862.2,0.983158
hhd,d8,30106.0,1.000000
hhd,d9,20793.6,0.997776
hhd,lab,381986.8,0.993857
hhd,soc_b,135792.7,0.999409
hhd,soc_c,670.5,0.993320
hhd,trf,24687.8,0.990008
lab,act,390956.2,1.005367
lab,row,3185.3,1.002931
ptx,com,88095.0,1.000000
row,com,576006.0,1.000000
row,d4x,288990.3,1.011262
row,d9,1075.6,1.026297
row,dtx,4234.0,1.024178
row,hhd,15786.5,1.028237
row,lab,12154.7,1.022266
row,si,55381.0,1.019044
row,soc_b,2950.3,1.027977
row,soc_c,540.5,1.021714
row,trf,13581.2,1.018307
si,corp,125361.8,0.992383
si,gvt,41705.6,0.991786
si,hhd,68403.1,0.997653
soc_b,corp,50570.8,1.000372
soc_b,gvt,87255.9,0.999770
soc_b,hhd,678.8,1.005684
soc_b,row,237.5,0.989405
soc_c,hhd,196751.9,1.000320
soc_c,row,3901.1,0.984128
trf,corp,24621.9,0.998656
trf,gvt,13084.5,0.998055
trf,hhd,23316.9,1.003959
trf,row,2676.7,0.987708
