activity,occupation,lmd_share,bench_share,diff_pp
aacct,mang,0.37091,0.35156,1.93436
aacct,prof,0.00247,0.00232,0.01450
aacct,tech,0.00950,0.00893,0.05754
aacct,cler,0.08269,0.08324,-0.05537
aacct,sale,0.43662,0.46024,-2.36242
aacct,skag,0.00022,0.00021,0.00077
aacct,craf,0.01007,0.00924,0.08247
aacct,oper,0.01903,0.01820,0.08245
aacct,elmn,0.06850,0.06605,0.24570
aacct,doms,0.00000,0.00000,0.00000
aagri,mang,0.20854,0.20558,0.29643
aagri,prof,0.00474,0.00485,-0.01029
aagri,tech,0.01007,0.00999,0.00791
aagri,cler,0.02727,0.02790,-0.06339
aagri,sale,0.00856,0.00867,-0.01045
aagri,skag,0.07890,0.07052,0.83820
aagri,craf,0.01827,0.01865,-0.03809
aagri,oper,0.06681,0.06777,-0.09666
aagri,elmn,0.57683,0.58607,-0.92368
aagri,doms,0.00000,0.00000,0.00000
aatrp,mang,0.14857,0.15018,-0.16108
aatrp,prof,0.04626,0.04668,-0.04204
aatrp,tech,0.14190,0.14299,-0.10892
aatrp,cler,0.43557,0.43914,-0.35674
aatrp,sale,0.13388,0.13520,-0.13211
aatrp,skag,0.00000,0.00000,0.00000
aatrp,craf,0.03524,0.02669,0.85466
aatrp,oper,0.04231,0.04267,-0.03607
aatrp,elmn,0.01627,0.01644,-0.01771
aatrp,doms,0.00000,0.00000,0.00000
abchm,mang,0.26891,0.26426,0.46522
abchm,prof,0.15078,0.15078,-0.00014
abchm,tech,0.12339,0.12347,-0.00786
abchm,cler,0.11966,0.12028,-0.06262
abchm,sale,0.06313,0.06418,-0.10546
abchm,skag,0.00000,0.00000,0.00000
abchm,craf,0.05248,0.05309,-0.06114
abchm,oper,0.15085,0.15222,-0.13616
abchm,elmn,0.07079,0.07171,-0.09184
abchm,doms,0.00000,0.00000,0.00000
abevt,mang,0.35382,0.36144,-0.76216
abevt,prof,0.15799,0.16127,-0.32728
abevt,tech,0.11711,0.11955,-0.24321
abevt,cler,0.04535,0.04641,-0.10579
abevt,sale,0.05831,0.04889,0.94275
abevt,skag,0.00000,0.00000,0.00000
abevt,craf,0.05246,0.04602,0.64422
abevt,oper,0.11483,0.11589,-0.10589
abevt,elmn,0.10011,0.10053,-0.04264
abevt,doms,0.00000,0.00000,0.00000
acnst,mang,0.37853,0.36449,1.40415
acnst,prof,0.03060,0.03087,-0.02745
acnst,tech,0.02707,0.02754,-0.04663
acnst,cler,0.02673,0.02644,0.02943
acnst,sale,0.00087,0.00089,-0.00244
acnst,skag,0.00012,0.00013,-0.00016
acnst,craf,0.41675,0.42720,-1.04497
acnst,oper,0.02239,0.02277,-0.03772
acnst,elmn,0.09694,0.09968,-0.27421
acnst,doms,0.00000,0.00000,0.00000
acoal,mang,0.11025,0.11025,0.00016
acoal,prof,0.06921,0.06920,0.00063
acoal,tech,0.10772,0.10773,-0.00040
acoal,cler,0.02872,0.02872,-0.00033
acoal,sale,0.01686,0.01686,0.00018
acoal,skag,0.00000,0.00000,0.00000
acoal,craf,0.35219,0.35218,0.00102
acoal,oper,0.26993,0.26994,-0.00102
acoal,elmn,0.04512,0.04512,-0.00024
acoal,doms,0.00000,0.00000,0.00000
acomp,mang,0.24180,0.24121,0.05961
acomp,prof,0.42574,0.42492,0.08208
acomp,tech,0.21915,0.22082,-0.16623
acomp,cler,0.04120,0.04045,0.07469
acomp,sale,0.00726,0.00732,-0.00592
acomp,skag,0.00000,0.00000,0.00000
acomp,craf,0.06131,0.06172,-0.04090
acomp,oper,0.00152,0.00153,-0.00163
acomp,elmn,0.00201,0.00203,-0.00169
acomp,doms,0.00000,0.00000,0.00000
aeduc,mang,0.11455,0.11260,0.19537
aeduc,prof,0.55891,0.55835,0.05580
aeduc,tech,0.23857,0.24012,-0.15504
aeduc,cler,0.04164,0.04202,-0.03835
aeduc,sale,0.02093,0.02121,-0.02829
aeduc,skag,0.00008,0.00008,-0.00030
aeduc,craf,0.00121,0.00123,-0.00194
aeduc,oper,0.00242,0.00244,-0.00159
aeduc,elmn,0.02171,0.02196,-0.02567
aeduc,doms,0.00000,0.00000,0.00000
aelcg,mang,0.36526,0.36558,-0.03288
aelcg,prof,0.21584,0.21600,-0.01691
aelcg,tech,0.13350,0.13365,-0.01515
