row,col,value_Rm
aacct,centa,21001.010
aacct,chotl,35484.086
aacct,cpers,1157.767
aacct,crest,98117.900
aacct,csupp,1018.542
aagri,cafee,5273.352
aagri,calcb,1362.394
aagri,cbchm,716.027
aagri,cceri,58526.690
aagri,cdair,28171.186
aagri,centa,5685.171
aagri,cfore,693.514
aagri,chotl,886.148
aagri,clani,82208.750
aagri,cleat,539.074
aagri,cmeat,33496.689
aagri,crent,9585.317
aagri,crrea,2585.871
aagri,ctexf,2421.639
aagri,ctoba,1362.394
aagri,cvegf,82559.964
aagri,cwatr,1102.999
aatrp,cftrp,20969.924
aatrp,cptrp,58653.138
abchm,cbchm,93185.837
abchm,cglas,15.850
abchm,cirst,23.284
abchm,coche,3238.377
abchm,conmp,141.965
abchm,cpain,3188.835
abchm,cpapp,36.820
abchm,cpetr,4174.001
abchm,cplas,112.940
abchm,csoap,563.158
abchm,csupp,2988.776
abchm,ctexf,28.764
abchm,ctyre,18.179
abchm,cwast,42.237
abevt,calcb,76087.372
abevt,cfrui,1562.863
abevt,cgrai,22.352
abevt,cpast,25.205
abevt,csftd,40937.955
abevt,csupp,285.686
abevt,ctoba,16149.415
abevt,cwast,2.932
acnst,ccnst,396817.174
acnst,cobus,11590.502
acnst,crent,4299.947
acoal,ccoal,134732.538
acoal,comin,433.608
acoal,csupp,13485.822
acomp,cftrp,31.568
acomp,cobus,103016.606
acomp,coffm,45394.395
acomp,crent,736.282
acomp,crrea,1723.479
acomp,csupp,8950.662
aeduc,ceduc,442834.291
aeduc,chotl,31246.768
aeduc,crent,3.576
aeduc,crrea,177.000
aeduc,crsea,13622.040
aelcg,celcd,28332.011
aelcg,celcg,246453.176
aemch,cdoma,9457.822
aemch,celcm,42966.262
aemch,cgenm,488.755
aemch,cglas,31.080
aemch,cimet,53.139
aemch,cirst,77.511
aemch,cmeda,77.760
aemch,cmtvp,183.635
aemch,cnfme,163.207
aemch,cofbm,725.354
aemch,coffm,2392.551
aemch,comnf,5.384
aemch,cplas,113.066
aemch,crail,198.080
aemch,crdtv,3720.012
aemch,cspcm,21.464
aemch,cstrm,742.506
aemch,csupp,4234.209
afabm,cbchm,212.656
afabm,celcm,140.286
afabm,cengt,398.982
afabm,cgenm,57.598
afabm,cimet,2464.270
afabm,cirst,1539.232
afabm,clift,651.850
afabm,cnfme,289.401
afabm,cofbm,45102.862
afabm,comnf,1769.824
afabm,cpain,68.953
afabm,cpfis,653.231
afabm,cplas,266.413
afabm,cspcm,1098.051
afabm,cstrm,51901.963
afabm,csupp,13468.450
afabm,ctexm,146.903
afabm,cwast,138.197
afabm,cwood,116.929
afins,cfins,171089.501
afins,cofin,132169.462
afins,crrea,2469.823
afish,cfish,7722.719
afish,cpfis,12393.081
afood,cafee,32685.534
afood,calcb,19.276
afood,cbake,34887.414
afood,cbchm,2286.155
afood,cconf,13804.866
afood,cdair,35415.069
afood,cfats,42751.205
afood,cfrui,28035.912
afood,cgrai,39147.783
afood,cleat,2.180
afood,cmeat,56397.630
afood,cnfme,60.633
afood,coche,483.606
afood,comnf,504.909
afood,cpapp,0.187
afood,cpast,51413.642
afood,cpfis,5149.601
afood,cphar,632.954
afood,csftd,323.063
afood,csoap,1045.022
afood,cstrm,13.997
afood,csuga,19881.676
afood,csupp,4831.576
afood,cvege,10823.400
afood,cwast,2945.050
afoot,cfoot,6323.374
afoot,cleat,14.863
afoot,cmeda,54.282
afoot,cwood,10.738
afore,cfore,15004.489
afurn,cfurn,14755.590
afurn,cmeda,5.295
afurn,cstrm,754.283
afurn,csupp,1246.012
afurn,ctexm,41.781
afurn,cwood,708.796
aglss,cglas,10015.074
aglss,csupp,142.542
agold,cnfme,84095.306
agold,comin,942.895
agold,csupp,1657.582
aheal,cheal,347889.872
aheal,cobus,8235.698
aheal,cpuba,21252.597
aheal,crent,139.556
aheal,crrea,1601.389
ainsp,ccrpf,46097.612
ainsp,cinsp,216908.738
ainsp,cofin,256.046
ainsp,crrea,6206.463
aknit,cfoot,11.306
aknit,cknit,1502.927
aknit,cotex,2172.076
aknit,cplas,44.187
aknit,csupp,1264.083
aknit,ctexf,683.902
aknit,ctexm,3503.055
aknit,cwast,1.818
aknit,cwear,30934.073
aleat,cafee,14.282
aleat,cfats,6.114
aleat,cleat,6552.298
aleat,cmeat,376.835
aleat,comnf,9.556
aleat,csupp,57.014
aleat,ctexm,879.764
aleat,cwast,17.639
aleat,cwear,97.282
altrp,cftrp,213324.372
altrp,cptrp,74990.697
altrp,ctrps,6721.577
amach,cbchm,7.828
amach,cclay,20.513
amach,celcm,312.234
amach,cengt,27415.548
amach,cgenm,54096.046
amach,cimet,7.310
amach,cirst,145.394
amach,clift,9777.913
amach,cmeda,95.202
amach,cmtvp,615.554
amach,coche,127.720
amach,cofbm,1387.030
amach,comnf,3.037
amach,cpain,8.949
amach,cpapp,332.366
amach,cplas,194.774
amach,crdtv,33.519
amach,cspcm,25206.891
amach,cstrm,156.164
amach,csupp,18684.025
amach,ctyre,49.915
amets,cbchm,1349.343
amets,ccoke,1637.852
amets,cdoma,11.275
amets,celcm,264.495
amets,cengt,618.156
amets,cimet,66525.143
amets,cirst,28149.427
amets,cjewl,10.642
amets,cnfme,118356.653
amets,cofbm,871.306
amets,comnf,11.794
amets,cpapp,3.883
amets,cplas,416.245
amets,cship,49.553
amets,cspcm,4.386
amets,cstrm,2320.573
amets,csupp,4901.338
amets,cwast,1374.974
amets,cwood,186.566
amopt,cgenm,197.327
amopt,cmeda,11280.123
amopt,cofbm,196.474
amopt,cphar,42.963
amopt,crdtv,106.080
amopt,csupp,1705.643
amore,cirst,90362.339
amore,cmore,289096.195
amore,cnfme,58039.112
amore,comin,11035.012
amore,csupp,14143.627
amorg,cmemb,18463.567
amorg,crrea,169.690
amtvp,cclay,2051.912
amtvp,celcm,1539.342
amtvp,cengt,17159.259
amtvp,cgenm,64.058
amtvp,cglas,350.507
amtvp,cleat,989.619
amtvp,cmbod,32716.173
amtvp,cmtvp,215541.425
amtvp,cofbm,280.504
amtvp,coteq,8164.717
amtvp,cplas,3322.228
amtvp,crail,116.277
amtvp,cspcm,144.093
amtvp,cstrm,15.242
amtvp,csupp,5498.708
amtvp,ctexm,4644.566
amtvs,cfrui,0.442
amtvs,creta,76601.184
amtvs,csupp,74519.554
amtvs,cvege,0.145
amtvs,cwhol,33396.534
anmmi,ccera,2016.352
anmmi,cclay,12419.405
anmmi,ccmnt,16250.292
anmmi,cconc,21926.400
anmmi,cglas,0.174
anmmi,cimet,219.908
anmmi,cnfme,190.485
anmmi,comnf,806.776
anmmi,conmp,5602.075
anmmi,cpain,0.709
anmmi,cplas,561.410
anmmi,cstrm,100.903
anmmi,csupp,683.100
anobs,cafee,1246.750
anobs,calcb,13742.160
anobs,cbake,528.610
anobs,cbchm,1277.844
anobs,ccarp,9247.107
anobs,ccera,1202.329
anobs,cceri,518.978
anobs,cclay,1454.048
anobs,ccnst,75332.086
anobs,cdair,3629.197
anobs,cdoms,62421.937
anobs,ceduc,14144.995
anobs,centa,25905.753
anobs,cfats,903.227
anobs,cfish,2722.950
anobs,cfoot,1562.746
anobs,cfore,3588.803
anobs,cfrui,3473.723
anobs,cftrp,8734.859
anobs,cfurn,14285.322
anobs,cgenm,5.514
anobs,cgrai,2715.605
anobs,cheal,10336.499
anobs,chotl,5027.493
anobs,cjewl,444.210
anobs,cknit,177.684
anobs,clani,11523.111
anobs,cleat,892.862
anobs,cmbod,2.217
anobs,cmeat,6531.370
anobs,cmeda,0.719
anobs,cmemb,9792.004
anobs,cmore,2.970
anobs,cnfme,915.532
anobs,coche,4.927
anobs,cofbm,2431.864
anobs,comin,1952.073
anobs,comnf,22625.660
anobs,cotex,1279.174
anobs,cpain,2697.976
anobs,cpapp,1193.445
anobs,cpast,182.511
anobs,cpers,60462.450
anobs,cpfis,2237.338
anobs,cphar,1079.675
anobs,cplas,5234.360
anobs,cprnt,315.389
anobs,cptrp,103399.533
anobs,cquar,725.344
anobs,crdtv,235.124
anobs,crent,638.433
anobs,crest,65560.848
anobs,creta,59591.508
anobs,csftd,4101.210
anobs,csoap,1954.525
anobs,cstrm,282.347
anobs,csupp,30260.929
anobs,ctexf,4202.790
anobs,ctexm,1698.706
anobs,ctoba,6482.487
anobs,ctyre,8381.199
anobs,cvege,4308.838
anobs,cvegf,3972.092
anobs,cwast,5227.194
anobs,cwear,19210.492
anobs,cwood,1725.016
aoact,cpers,8556.548
aoact,crent,3.338
aoact,crrea,13.351
aobus,ceduc,12558.706
aobus,clacc,142332.063
aobus,cmnfs,16803.195
aobus,cobus,438959.308
aobus,cpers,10358.739
aobus,crent,16842.159
aobus,crrea,9180.882
aobus,csupp,7484.585
aochm,cbchm,11559.415
aochm,cclay,544.721
aochm,ccoke,30.576
aochm,cdair,257.868
aochm,cmeda,219.647
aochm,coche,27878.008
aochm,cofbm,92.961
aochm,comnf,1957.039
aochm,conmp,5.823
aochm,cotex,274.509
aochm,cpain,16282.461
aochm,cpast,1402.476
aochm,cpetr,5871.569
aochm,cphar,33321.623
aochm,cplas,60.101
aochm,cprnt,118.605
aochm,csftd,4.209
aochm,csoap,36364.320
aochm,csupp,1322.441
aochm,ctoba,5.929
aochm,cwood,10.810
aofin,ccrpf,124950.000
aomin,coilg,16169.798
aomin,comin,22316.539
aomin,cquar,29533.760
aomin,csupp,16957.667
aomnf,celcm,244.181
aomnf,cgenm,80.748
aomnf,cjewl,18901.732
aomnf,cmbod,32.471
aomnf,cmeat,2.943
aomnf,cmeda,237.709
aomnf,cnfme,45.560
aomnf,cofbm,1037.747
aomnf,comnf,8276.944
aomnf,cplas,2319.755
aomnf,cprnt,5.079
aomnf,cspcm,259.732
aomnf,csupp,1184.165
aomnf,ctexm,97.291
aomnf,cwast,22283.510
aotrp,cairc,5429.084
aotrp,celcm,24.160
aotrp,cmbod,31.176
aotrp,coteq,1100.613
