account,kind
amaiz,activity
arice,activity
aocer,activity
apuls,activity
aoils,activity
aroot,activity
avege,activity
asugr,activity
atoba,activity
acott,activity
afrui,activity
acoff,activity
aocrp,activity
acatt,activity
apoul,activity
aoliv,activity
afore,activity
afish,activity
amine,activity
afood,activity
abeve,activity
atext,activity
awood,activity
achem,activity
anmet,activity
ametl,activity
amach,activity
aoman,activity
aelec,activity
awatr,activity
acons,activity
atrad,activity
atran,activity
ahotl,activity
acomm,activity
afsrv,activity
areal,activity
absrv,activity
apadm,activity
aeduc,activity
aheal,activity
aosrv,activity
cmaiz,commodity
crice,commodity
cocer,commodity
cpuls,commodity
coils,commodity
croot,commodity
cvege,commodity
csugr,commodity
ctoba,commodity
ccott,commodity
cfrui,commodity
ccoff,commodity
cocrp,commodity
ccatt,commodity
cpoul,commodity
coliv,commodity
cfore,commodity
cfish,commodity
cmine,commodity
cfood,commodity
cbeve,commodity
ctext,commodity
cwood,commodity
cchem,commodity
cnmet,commodity
cmetl,commodity
cmach,commodity
coman,commodity
celec,commodity
cwatr,commodity
ccons,commodity
ctrad,commodity
ctran,commodity
chotl,commodity
ccomm,commodity
cfsrv,commodity
creal,commodity
cbsrv,commodity
cpadm,commodity
ceduc,commodity
cheal,commodity
cosrv,commodity
trc,transaction-cost
flab-n,factor
flab-p,factor
flab-s,factor
flnd,factor
fcap,factor
ent,enterprise
hhd-r1,household
hhd-r2,household
hhd-r3,household
hhd-r4,household
hhd-r5,household
hhd-u1,household
hhd-u2,household
hhd-u3,household
hhd-u4,household
hhd-u5,household
gov,government
dtax,tax-direct
mtax,tax-product
stax,tax-product
s-i,savings
dstk,stocks
row,row
